;ID_Venda;Data_Venda;Vendedor;CPF;Cidade;UF;Produto;Categoria;Canal_Venda;Qtd_Vendas;Valor_Vendas;Salario;Meta_Mensal;Percentual_Cumprimento;Cliente;Email_Cliente;Telefone;Data_Cadastro
0;vnd_5262;2022-11-11;Igor Leão;68402519776;Fortaleza;CE;TV;ROUPAS;WHATSAPP;26;31194.95;4528.22;70564.92;0.6;Maya Borges;jesusluisa@example.net;+55 2179320945;2021-05-10
1;vnd_6370;2017-11-02;Luiz Fernando Nogueira;51420736817;Curitiba;PR;TV;MÓVEIS;WHATSAPP;;6406.28;7281.15;79258.38;104.7;Renan Sales;montenegroantonella@example.net;+55 7137332421;2024-03-04
2;vnd_8482;1987-03-20;Cecília Sales;37054928105;Recife;SP;BICICLETA;MÓVEIS;APP;;2798.28;5464.22;56425.78;0.64;Lunna Pinto;maria-luizarocha@example.com;+55 5104594452;
3;vnd_4681;1973-06-19;Allana Nascimento;18560472371;Fortaleza;CE;BICICLETA;ELETRÔNICO;APP;45;2586.04;5954.1;34167.45;1.16;Rafael Da Cruz;montenegroana-cecilia@example.net;+55 4117037693;2021-11-30
4;vnd_6378;2022-12-19;Daniel Barbosa;02471365817;Rio De Janeiro;PE;BONECA;AUTOMOTIVO;TELEFONE;4;5275.09;2325.27;20431.01;91.4;Lara Andrade;casa-grandejose@example.com;+55 2163807596;2024-06-28
5;vnd_5357;1983-12-30;Anthony Gabriel Dias;24563180998;Fortaleza;SP;BONECA;ESPORTE;WHATSAPP;;4284.04;5343.9;47888.55;60.6;Maysa Oliveira;cecilia47@example.org;+55 5169785559;2024-01-17
6;vnd_2217;1975-11-12;Benjamin Da Cunha;64159027849;Fortaleza;RJ;BICICLETA;ESPORTE;WHATSAPP;;19674.92;2005.88;;0.9;Davi;silvavitor-hugo@example.com;+55 6716190546;
7;vnd_7015;2023-04-19;Igor Moura;15683704235;Belo Horizonte;PE;PERFUME;BELEZA;TELEFONE;4;36878.14;4917.91;;75.7;Theo Da Conceição;das-nevesvalentina@example.com;+55 8106191768;2021-04-18
8;vnd_9598;2025-05-16;Cauê Moraes;97365108240;Rio De Janeiro;RJ;NOTEBOOK;MÓVEIS;WHATSAPP;;31338.13;7787.0;62366.92;0.62;Davi Miguel Ramos;joao-guilherme90@example.net;+55 7381193138;2021-10-17
9;vnd_4403;2024-08-06;Vitória Ribeiro;93065842700;Curitiba;BA;RELÓGIO;MÓVEIS;LOJA;10;37724.17;6245.05;;1.14;Rael Fogaça;macedoemilly@@example.net;+55 3204924134;
10;vnd_2800;2025-02-24;José Pedro Aragão;72410638996;Fortaleza;PE;PERFUME;AUTOMOTIVO;LOJA;32;41385.21;3758.17;;0.94;Zoe;joana58@example.org;+55 7168030110;
11;vnd_6778;2025-02-15;;40576829102;Recife;DF;PERFUME;AUTOMOTIVO;APP;;40778.25;5386.32;;114.0;Liam Leão;matteo52@example.com;+55 1108969109;
12;vnd_2811;2025-04-25;Liz Pastor;14790538648;Salvador;PR;BICICLETA;BELEZA;LOJA;;24214.26;6451.94;73022.36;80.5;Vitor Gabriel Siqueira;fernandoviana@example.org;+55 2102047195;2021-04-15
13;vnd_7003;1999-08-21;Stella Sales;60184239524;Fortaleza;CE;BICICLETA;BELEZA;TELEFONE;27;12607.94;3921.59;50798.7;1.02;Cauã Rocha;moreiramaya@@example.com;+55 1133448546;2024-07-11
14;vnd_7510;2025-08-22;Eduarda Siqueira;48651729049;Salvador;SP;RELÓGIO;BRINQUEDOS;ONLINE;;39844.87;3245.26;51532.19;0.63;Vicente;machadoemanuelly@example.com;+55 3102590984;
15;vnd_1544;2010-12-20;Ana Júlia Barbosa;85729430647;Rio De Janeiro;MG;SOFÁ;ELETRÔNICO;WHATSAPP;;6373.36;7861.83;47217.87;0.99;Luísa Pinto;sophie65@example.org;+55 2379239563;2023-08-25
16;vnd_8879;1990-01-03;Pietro Da Cruz;85302971488;Salvador;PE;NOTEBOOK;BELEZA;WHATSAPP;12;15442.14;1696.96;59617.27;0.54;Alexia Garcia;maria-lizda-mota@example.com;+55 2138152746;2021-02-22
