;ID_Venda;Data_Venda;Vendedor;CPF;Cidade;UF;Produto;Categoria;Canal_Venda;Qtd_Vendas;Valor_Vendas;Salario;Meta_Mensal;Percentual_Cumprimento;Cliente;Email_Cliente;Telefone;Data_Cadastro
0;vnd_5262;2022-11-11;Igor Leão;684.025.197-76;fortaleza;ce;TV;Roupas;WhatsApp;26.0;31194.95;4528.22;70564.92;0.6;Sra. Maya Borges;jesusluisa@example.net;+55 21 7932-0945;2021-05-10
1;vnd_6370;2017-02-11;Sr. Luiz Fernando Nogueira;51420736817;Curitiba;PR;TV;Móveis;WHATSAPP;;R$6406.28;R$7281.15;79258.38;104.7%;Dr. Renan Sales;montenegroantonella@example.net;+55 71 3733 2421;2024-03-04
2;vnd_8482;1987-03-20;Cecília Sales;370.549.281-05;Recife;SP;BICICLETA;MÓVEIS;app;;R$2798.28;5464.22;R$ 56425.78;0.64;Lunna Pinto;maria-luizarocha@example.com;+55 51 0459-4452;
3;vnd_4681;1973-06-19;Allana Nascimento;18560472371;Fortaleza;CE;Bicicleta;Eletrônico;APP;45.0;2586.04;R$5954.1;R$ 34167.45;1.16;Rafael da Cruz;montenegroana-cecilia@example.net;+55 41 1703-7693;2021-11-30
4;vnd_6378;2022-12-19;Daniel Barbosa;024.713.658-17;rio de janeiro;PE;Boneca;AUTOMOTIVO;Telefone;4.0;R$5275.09;2325.27;20431.01;91.4%;Srta. Lara Andrade;casa-grandejose@example.com;+55 21 6380 7596;2024-06-28
5;vnd_5357;1983-12-30;Anthony Gabriel Dias;245.631.809-98;Fortaleza;SP;Boneca;esporte;WhatsApp;;4284.04;5343.9;R$ 47888.55;60.6%;Maysa Oliveira;cecilia47@example.org;+55 51 6978 5559;2024-01-17
6;vnd_2217;1975-12-11;Benjamin da Cunha;641.590.278-49;Fortaleza;RJ;Bicicleta;Esporte;WhatsApp;;R$19674.92;2005.88;;0.9;DAVI;silvavitor-hugo@example.com;+55 6716190546;
7;vnd_7015;2023-04-19;Dr. Igor Moura;156.837.042-35;Belo Horizonte;PE;Perfume;beleza;Telefone;4.0;R$36878.14;R$4917.91;;75.7%;Theo da Conceição;das-nevesvalentina@example.com;+55 81 0619-1768;2021-04-18
8;vnd_9598;;Dr. Cauê Moraes;97365108240;Rio de Janeiro;RJ;Notebook;Móveis;WhatsApp;;31338.13;7787.0;R$ 62366.92;0.62;Davi Miguel Ramos;joao-guilherme90@example.net;+55 7381193138;2021-10-17
9;vnd_4403;2024-06-08;Dra. Vitória Ribeiro;930.658.427-00;curitiba;BA;Relógio;Móveis;Loja;10.0;37724.17;R$6245.05;;1.14;Dr. Rael Fogaça;macedoemilly@@example.net;+55 3204924134;
10;vnd_2800;;José Pedro Aragão;724.106.389-96;Fortaleza;pe;Perfume;Automotivo;loja;32.0;R$41385.21;R$3758.17;;0.94;ZOE;joana58@example.org;+55 71 6803-0110;
11;vnd_6778;2025-02-15;;405.768.291-02;Recife;DF;Perfume;Automotivo;APP;;R$40778.25;R$5386.32;;114.0%;Liam Leão;matteo52@example.com;+55 11 0896 9109;
12;vnd_2811;;Liz Pastor;147.905.386-48;Salvador;PR;Bicicleta;Beleza;Loja;;R$24214.26;R$6451.94;R$ 73022.36;80.5%;Vitor Gabriel Siqueira;fernandoviana@example.org;+55 21 0204-7195;2021-04-15
13;vnd_7003;1999-08-21;Stella Sales;601.842.395-24;Fortaleza;ce;Bicicleta;beleza;Telefone;27.0;12607.94;3921.59;R$ 50798.7;1.02;Cauã Rocha;moreiramaya@@example.com;+55 11 3344 8546;2024-07-11
14;vnd_7510;;Eduarda Siqueira;48651729049;Salvador;SP;Relógio;Brinquedos;online;;R$39844.87;3245.26;R$ 51532.19;0.63;VICENTE;machadoemanuelly@example.com;+55 31 0259 0984;
15;vnd_1544;2010-12-20;Dra. Ana Júlia Barbosa;857.294.306-47;Rio de Janeiro;MG;SOFÁ;eletrônico;whatsapp;;6373.36;7861.83;47217.87;0.99;Luísa Pinto;sophie65@example.org;+55 2379239563;2023-08-25
16;vnd_8879;1990-03-01;Sr. Pietro da Cruz;853.029.714-88;Salvador;PE;Notebook;Beleza;WhatsApp;12.0;15442.14;R$1696.96;R$ 59617.27;0.54;Alexia Garcia;maria-lizda-mota@example.com;+55 21 3815 2746;2021-02-22
17;vnd_1729;1992-02-24;Elisa Araújo;951.428.630-89;São Paulo;MG;Capacete;Esporte;Telefone;;R$44258.17;4418.07;R$ 40423.64;119.4%;Dr. Otávio Sousa;santosnoah@example.org;+55 81 0006 5596;2024-02-27
18;vnd_7696;;Srta. Ana Laura Fonseca;517.940.268-94;Brasília;MG;Sofá ;Automotivo;WhatsApp;;48090.36;4781.81;43159.57;1.13;Dante Rios;diasluan@example.net;+55 7104889305;2023-09-04
19;vnd_1619;;Isabel Santos;09132546815;Salvador;CE;Boneca;Esporte;Telefone;;R$45968.1;R$2284.07;R$ 54820.67;57.5%;Dra. Gabrielly Nogueira;sara95@example.com;+55 0300-904-6013;2022-11-16
20;vnd_2385;;Luna Araújo;407.915.328-79;Recife;mg;Relógio;Brinqued0s;Telefone;17.0;10846.78;R$5394.22;R$ 26330.77;100.3%;Davi Martins;maria-julia71@example.org;+55 84 7000-3814;
21;vnd_5644;2024-03-08;Rael Rodrigues;396.720.458-83;Belo Horizonte;SP;Boneca;Automotivo;Loja;42.0;44728.31;R$6530.34;;87.0%;Antonella Fogaça;qmoraes@example.net;+55 31 3207 1323;2023-04-24
22;vnd_4246;2024-01-28;Emilly Correia;578.402.693-38;Curitiba;RJ;Camisa;Beleza;APP;;8106.53;R$4035.35;R$ 69989.81;78.0%;Calebe da Cruz;diogomontenegro@example.org;+55 21 8853-0419;2020-01-19
23;vnd_4395;;Maria Laura Freitas;834.627.951-55;São Paulo;SP;bicicleta;Roupas;Online;49.0;33439.55;R$5805.6;51174.13;0.6;Manuella Sá;alana93@example.org;+55 41 6192 1720;2024-04-05
24;vnd_7861;2025-09-13;Emanuelly Rios;14539260898;Recife;BA;Biciclet@;Móveis;Online;43.0;R$11253.54;R$6258.86;46371.24;1.17;Nicole Brito;antonellamoura@example.com;+55 31 1305 7468;2021-06-06
25;vnd_1363;2024-10-08;João Lucas Ferreira;25087614949;recife;SP;Bicicleta ;BRINQUEDOS;WhatsApp;;R$38671.68;R$2450.89;77585.93;85.6%;Sr. Davi Jesus;ana-liviacavalcante@example.com;+55 31 0260 6020;2023-02-16
26;vnd_1828;1973-08-09;;39208516768;Fortaleza;CE;Notebook;Beleza;Loja;24.0;R$14065.77;R$3282.57;R$ 66164.4;0.6;Dante Cardoso;joaopacheco@example.org;+55 21 1116 3199;2022-01-16
27;vnd_7820;;Antônio Casa Grande;807.493.625-29;Belo Horizonte;DF;Camisa;AUTOMOTIVO;Telefone;;R$29151.37;3253.09;;0.95;Laura Pereira;ana-juliamonteiro@example.com;+55 84 1347 9975;2024-07-14
28;vnd_8235;2024-06-02;Brayan da Luz;342.571.908-41;Recife;RJ;Notebook;MÓVEIS;app;;7250.53;6079.51;;80.5%;Lunna Peixoto;barbosaluna@example.net;+55 84 5124 7388;
29;vnd_5222;2023-07-22;Alice Sampaio;90753862492;Recife;DF;bicicleta;ROUPAS;Telef0ne;;R$3340.48;R$5237.96;;57.6%;Mariah Dias;camaravitor-hugo@example.com;+55 918005376;2022-07-09
30;vnd_6849;;Elisa Gonçalves;635.901.874-84;São Paulo;PE;Bicicleta;Brinquedos;WHATSAPP;;R$1541.53;7276.98;;0.89;Sr. Joaquim Leão;heloisanovais@example.net;+55 31 9855-8243;
31;vnd_5319;;Dr. Enzo Ribeiro;604.329.571-70;Brasília;PR;NOTEBOOK;esporte;Loja;31.0;30194.0;R$4653.25;R$ 70719.71;53.5%;LUIZ FELIPE;ravyvieira@example.org;+55 21 6201 7998;2025-08-07
32;vnd_7716;;Lucas Gabriel Viana;534.216.789-28;Recife;MG;Sofá;Automotivo;Loja;36.0;R$23963.64;3571.17;79397.21;96.4%;Luigi Teixeira;alexandrefreitas@example.org;+55 61 0590-2924;2024-07-10
33;vnd_7974;1974-05-04;Sra. Alexia Castro;859.274.316-82;Salvador;BA;boneca;Brinquedos;TELEFONE;;R$1078.54;R$7232.8;R$ 38473.31;0.86;Maria Cecília das Neves;azevedoana-clara@example.org;+55 4301383033;
34;vnd_6439;2023-02-07;Théo Almeida;548.293.761-55;Fortaleza;MG;CAMISA;Automotivo ;Telefone;;R$19075.48;4851.83;;0.61;Srta. Alice Borges;rochamaria-sophia@@example.net;+55 51 7608 2374;2024-09-25
35;vnd_1836;2024-11-22;Larissa Sousa;921.685.473-19;Brasília;sp;Boneca;Eletrônico;Online;42.0;47703.46;7292.65;;0.85;Davi Moraes;eduardabrito@@example.net;+55 41 1657-5242;2021-02-06
